idx,Maladie,Symptomes,raisons,Tests et procédures,Médicaments courants
0,Affections de la peau,"['anxiété et nervosité', 'dépression', 'essoufflement','symptômes dépressifs ou psychotiques', 'douleurs thoraciques aiguës','étourdissements', 'insomnie','mouvements involontaires anormaux', 'pression artérielle', 'palpitations','battements de cœur irréguliers','respiration rapide']","Le trouble panique est un trouble anxieux caractérisé par de graves crises de panique récurrentes. Il peut également inclure des changements comportementaux significatifs d'une durée d'au moins un mois et d'inquiétudes continues au sujet des implications ou des préoccupations d'avoir d'autres attaques. Ces dernières sont appelées attaques anticipatoires (DSM-IVR). Le trouble panique n'est pas le même que l'agoraphobie (peur des lieux publics), bien que beaucoup d'affligés par le trouble panique souffrent également d'agoraphobie. Les attaques paniques ne peuvent pas être prédites, par conséquent un individu peut devenir stressé, anxieux ou inquiet de se demander quand se produira la prochaine crise de panique. Le trouble panique peut être différencié comme une condition médicale, ou un déséquilibre chimique. Le DSM-IV-TR décrit différemment le trouble panique et l'anxiété.","['Psychothérapie', 'Conseils de santé mentale', 'Electrocardiogramme', 'Criblage de dépression (Criblage de dépression)', 'Criblage de toxicologie', 'Évaluation et thérapie psychologiques et psychiatriques']","['Lorazepam', 'Alprazolam (Xanax)', 'Clonazepam', 'Paroxetine (Paxil)', 'Venlafaxine (Effexor)', 'Mirtazapine', 'Buspirone (Buspar)', 'Fluvoxamine (Luvox)', 'Imipramine', 'Desvenlafaxine (Pristiq)', 'Clomipramine', 'Acamprosate (Campral)']"
1,Polype de cordon vocal,"['Voix rauque', 'Gorge douloureuse', 'Difficulté à parler', 'Toux', 'Gonflement nasal', 'Gonflement de gorge', 'Audition diminuée', 'Gonflement de gorge', 'Gonflement de gorge', 'Gonflement de gorge', 'Difficulté à avaler', 'Gonflement de peau', 'Retention des urines']","produit nasal de la béclométhasone,","['Trachéoscopie et laryngoscopie avec biopsie', 'Évaluation de la thérapie d'occupation (traitement par speech)', 'Autres procédures diagnostiques (entrevue; évaluation; consultation)', 'Exercices de thérapie physique (exercices)', 'Procédures diagnostiques sur le nez; bouche et pharynx', 'Autres thérapies physiques et réadaptation', 'Diagnostic et traitement ophtalmologiques et otologiques']","['Esomeprazole (Nexium)', 'Beclométhasone Nasal Product', 'Nicotine', 'Azelastine Nasal', 'Phenylephrine (Duramax)', 'Rabeprazole (Aciphex)', 'Vinorelbine (Navelbine)', 'Vitamine A', 'Adalimumab (Humira)', 'Rituximab']"
2,Syndrome de Turner,"['Massesse de grognement', 'douleur de leg', 'douleur de hanche', 'douleur de Suprapubic', 'Blood in selles', 'Lack of growth', 'Audience diminuée', 'Dépression', 'Symptômes émotionnels', 'Faiblesse d'Elbow', 'Faible de dos', 'Pus in sputum']","Syndrome de Turner ou Ullrich\xe2\x80\x93Le syndrome de Turner (aussi connu sous le nom de ""Dysgenèse gonadale"":550), 45,X, englobe plusieurs affections chez les femmes humaines, dont la monosomie X (absence d'un chromosome sexuel entier, le corps de Barr) est la plus fréquente. C'est une anomalie chromosomique dans laquelle la totalité ou une partie d'un chromosome sexuel est absente ou présente d'autres anomalies (les humains non touchés ont 46 chromosomes, dont deux sont des chromosomes sexuels).","['Examen physique complet de la peau effectué (LM), 'Ultrasonographie (Ultrasound)', 'Autres procédures diagnostiques (entrevue; évaluation; consultation)', 'Echocardiographie', 'Criblage de dépression (Criblage de dépression)', 'Examination du sein', 'Diagnostic et traitement ophtalmologiques et otologiques']","['Somatropine', 'Sulfamethoxazole (Bactrim)', 'Pimecrolimus Topical', 'Hyoscyamine (A-Spas)', 'Ortho Cyclen', 'Carbamazépine', 'Acide ascorbique', 'Nystatine Topical Product', 'Phenazopyridine (Azo)', 'Nifedipine']"
3,Cryptorchidisme,"['Symptômes du scrotum et des testicules', 'Gonflement du scrotum', 'Pain dans les testicules', 'Flatulence', 'Peu drainant de l'oreille', 'Jaundice', 'Mass in scrotum', 'Lack de croissance', 'Gonflement blanc des yeux', 'Enfant irritable']","Cryptorchidisme (dérivé du grec \xce\xba\xcf\x81\xcf\x85\xcf\x80\xcf\x84\xcf\x8c\xcf\x82, kryptos, signifiant caché et \xe1\xbd\x84\xcf\x81\xcf\x87\xce\xb9\xcf\x82, orchis, signifiant testicule) est l'absence d'une ou les deux testicules du scrotum. C'est le défaut de naissance le plus commun concernant les organes génitaux masculins. Dans des cas uniques, le cryptorchidisme peut se développer plus tard dans la vie, souvent aussi tard que jeune âge. Environ 3% des enfants prématurés et 30% sont nés avec au moins un testicule non dédaigné. Cependant, environ 80% des testicules cryptorchidiques descendent par la première année de vie (la majorité dans les trois mois), ce qui fait la véritable incidence du cryptorchidisme environ 1% dans l'ensemble.","['Examen physique complet de la peau effectué (LM), 'Ultrasonographie (Ultrasound)', 'Examen du bassin', 'Examen ectal', 'Autres procédures thérapeutiques OU autres procédures génitales masculines', 'Autres procédures du système nerveux thérapeutique OU autres procédures du système nerveux', 'Évaluation de la thérapie d'occupation (Traitement de la parole)']","['Haemophilus B Conjugate Vaccin (Obsolète)', 'Hepatitis B Vaccin (Obsolète)', 'Rotavirus Vaccin (Rotavirus Vaccin)', 'Desoximetasone Topical']"
4,Empoisonnement dû à l'éthylène glycol,"['abus d'alcool', 'faim', 'comportement hospitalier', 'abus de drogues','symptômes dépressifs ou psychotiques', 'douleur abdominale sévère','sensation de malaise', 'vomissement', 'Headache', 'Dépression', 'Nausée', 'Diarrhée']","la thiamine,","['Remplacement de liquide intraveineux', 'Tests hématologiques (Test de sang)', 'Toxicologie', 'Complète la numération sanguine (Cbc)', 'Electrocardiogramme', 'Mesure du glucose (Niveau de glucose)', 'Alcool de sang']","['Lorazepam', 'Thiamine', 'Naloxone (Suboxone)', 'Charcoal', 'Acide folique', 'Famotidine', 'Haloperidol', 'acétylcysteine', 'Trimethobenzamide (Tigan)', 'Sulfate de magnésium', 'Olanzapine (Zyprexa)']"
5,Vaginite atrophique,"['Démangeaisons vaginales', 'sécheresse vaginale', 'mictions douloureuses', 'mictions involontaires', 'douleur durant les rapports sexuels', 'mictions fréquentes', 'douleurs abdominales inférieures', 'douleurs suprapubiennes', 'pertes vaginales', 'sang dans les urines', 'bouffées de chaleur', 'saignements intermenstruels']","La vaginite atrophique (également connue sous le nom d'atrophie vaginale ou d'atrophie urogène) est une inflammation du vagin (et de l'appareil urinaire externe) due à l'amincissement et au rétrécissement des tissus, ainsi qu'à une diminution de la lubrification.","['Examen du bassin', 'Examination du sein', 'Urinalyse', 'Mammographie (Mammographie)', 'Examen ectal', 'Examen physique complet de la peau (ML)', 'Pap smear']","['Estrogens, conjugués (Usp) (Prémarin)', 'Estradiol', 'Nitrofurantoïne', 'Raloxifène (Evista)', 'Oxybutynine', 'Toltérodine (Detrol)', 'Progestérone', 'Solifenacine (Vesicare)', 'Rizedronate (Actonel)', 'Citrate de calcium', 'Betaméthasone-Clotrimazole Topical']"
6,Fracture de la main,"[« Douleur de main ou de doigt », « Douleur de poignet », « Gonflement de main ou de doigt », « Douleur de bras », « Gonflement de poignet », « Rigidité ou étanchéité des bras », « Gonflement de bras », « Rigidité ou étanchéité des mains ou des doigts », « Rigidité ou étanchéité des poignets »]","disopyramide,","[«Procédure d'imagerie radiographique», «rayon X de Plain» (rayon X), «Application de l'attelle (Splinting)», «Coulage orthopédique», «Traction; attelles; et autres soins des plaies», «Exercises de thérapie physique (Exercises)», «Autres procédures thérapeutiques non-OR sur le système musculo-squelettique»]","['Carteolol', 'Disopyramide']"
7,Cellulite ou abcès buccal,"['Gonflement de la peau', 'Gorge douloureuse', 'Toothache', 'Peau anormale apparaissant', 'Lésion de la peau', 'Difficulté à avaler', 'Acné ou boutons', 'Lèvres sèches', 'Malheur faciale', 'ulcère de la peau', 'Gonflement de la gorge', 'Gonflement de la peau']","produit topique de dexaméthasone,","['Examen physique complet de la peau effectué (ML)', 'Excision (Suppression)', 'Incision et drainage (I d)', 'Biopsy', 'Gestion des soins de la plaie', 'Culture blessure', 'Autres interventions thérapeutiques OU sur le nez; bouche et pharynx']","['Clindamycine', 'Dexaméthasone Topical Product', 'Penicilline', 'Rivastigmine (Exelon)', 'Chlorhexidine Topical', 'Petrolatum Topical', 'Docosanol Topical', 'Sertaconazole Topical', 'Oxaprozin', 'Hydrocortisone-Iodoquinol Topical', 'Retapamulin Topical']"
8,Troubles de l'alignement des yeux,"['Eye déviance', 'Vision diminuée', 'Double vision', 'Cross-eyed', 'Symptômes de l'œil', 'Paine dans l'œil', 'Eye bouge anormalement', 'Movement abnormal de la paupière', 'Sentiment du corps étranger dans l'œil', 'Lack de croissance', 'Scalcelle irrégulière', 'Swollen ganglions lymphatiques']","Si vous avez un problème avec les muscles, les yeux ne fonctionnent pas correctement. Il y a beaucoup de types de troubles du mouvement oculaire. Deux types communs sont: Strabismus \xe2\x80\x93 un trouble dans lequel les deux yeux ne fonctionnent pas dans la même direction. Cela se traduit par \xe2\x80\x9ccroixed eyes\xe2\x80\x9d ou \xe2\x80\x9cwalleye.\xe2\x80\x9d Nystagmus \xe2\x80\x93 mouvements rapides et incontrôlables des yeux, parfois appelés \xe2\x80\x9cwalleye.\xe2\x80\x9d Nystagmus \xe2\x80\x93 mouvements rapides et incontrôlables des yeux, parfois appelés \xe2\x80\x9cwalleye.","[«Diagnostic et traitement ophtalmologiques et otologiques», «Autres procédures diagnostiques (entrevue; évaluation; consultation)», «Autres procédures thérapeutiques sur paupières; conjonctive; cornée», «Autres procédures thérapeutiques», «Examen et évaluation ophtalmiques (examen Eye)», «Autres procédures thérapeutiques extraoculaires et en orbite», «Évaluation de la thérapie occupationnelle (traitement par speech)»]","['Atropine (Uaa)', 'Phénylphrine (Duramax)', 'Cyclopentolat Ophtalmic', 'Tropicamide Ophtalmic', 'Dexaméthasone-Tobramycine Ophtalmique', 'Mzm', 'Fluorescein', 'Orlistat (Alli)', 'Colloidal Oatmeal Topical', 'Benzylpenicilloyl Polylysine (Pre-Pen)']"
9,Céphalées après perforation lombaire,"['Headache'', 'Nausée', 'Malheur au dos', 'Vomissements', 'Grossissements', 'Malheur au cou', 'Malheur au dos faible', 'Pain de l'anus', 'Pain pendant la grossesse', 'Pain mictionnelle', 'Pelvic pain', 'Impotence']","caféine,","['Remplacement de liquide intraveineux', 'Complete glycum count (Cbc)', 'Tests hématologiques (Test de sang)', 'Electrolytes panel', 'Glucose measurement (Glucose level)', 'Tests de fonction Kidney (Test de fonction Kidney)', 'Tests de fonction Liver (Test deiver)']","['Hydromorphone (Dilaudid)', 'Caffeine', 'Prochlorperazine (Compro)', 'Midazolam (Versed)', 'Caffeine-Benzaate de sodium', 'Zidovudine', 'Zolmitriptan (Zomig)', 'Dexaméthasone-Tobramycine Ophtalmique']"
